,position,song,artist,popularity,duration_ms,album_type,release_date
6723,24,BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,75,172852,single,2023-08-27
6724,25,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
6725,26,EL TONTO,Lola Indigo,78,187986,album,2023-04-13
6726,27,Supernova,Saiko,78,190909,single,2023-04-19
6727,28,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,85,203636,single,2023-05-03
6728,29,A 300,JC Reyes & Pedro Calderon,76,169208,single,2023-02-17
6729,30,PLAYA DEL INGLÉS,Quevedo,81,237525,album,2023-01-20
6730,31,La Bachata,Manuel Turizo,84,162637,album,2023-03-17
6731,32,COCO LOCO,Maluma,73,166734,album,2023-08-25
6732,33,WHERE SHE GOES,Bad Bunny,93,231704,single,2023-05-18
6733,34,PASAJERO,Mora,82,149538,album,2023-08-28
6734,35,Chulo pt.2,Bad Gyal & Tokischa & Young Miko,90,219333,single,2023-06-22
6735,36,GATITA GANGSTER,KAROL G,76,170920,album,2023-08-10
6736,37,El Jefe,Shakira & Fuerza Regida,83,170297,single,2023-09-20
6737,38,FERXXO 151,Feid & ICON,83,195653,single,2023-08-25
6738,39,CORAZÓN VACÍO,Maria Becerra,87,160535,single,2023-06-22
6739,40,AQYNE,Aitana,73,181426,album,2023-09-21
6740,41,BUBALU,Feid & Rema,77,228253,single,2023-09-22
6741,42,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,83,191254,single,2023-06-21
6743,44,BESO,ROSALÍA & Rauw Alejandro,90,194543,single,2023-03-24
6744,45,PIRIBIRI,JC Reyes & Pedro Calderon,74,176727,single,2023-07-06
6745,46,Nochentera,Vicco,78,202184,single,2022-12-19
6746,47,WANDA,Quevedo,82,160909,album,2023-01-20
6747,48,Dararí,Aitana,70,170346,album,2023-09-21
6748,49,Coco Chanel,Eladio Carrion,87,208125,album,2023-03-17
6749,50,Te Menti,Ozuna & Saiko & Ovy On The Drums,77,187129,single,2023-09-14
6750,1,Si No Estás,iñigo quintero,78,184061,single,2022-09-23
6751,2,Buenas,Quevedo & Saiko,81,192954,single,2023-09-22
6752,3,REINA,Mora,88,211879,album,2023-08-28
6753,4,UN PREVIEW,Bad Bunny,83,165582,single,2023-09-25
6754,5,Columbia,Quevedo,95,186000,single,2023-07-07
6755,6,Holanda,Jhayco,92,231693,single,2023-07-28
6757,8,LALA,Myke Towers,97,197920,album,2023-03-23
6758,9,POLARIS - Remix,Saiko & Feid & Quevedo,86,288000,single,2023-06-08
6759,10,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
6761,12,QLONA,KAROL G,92,172797,album,2023-08-10
6762,13,Quien Es Dei V?,Dei V,73,162244,single,2023-03-17
6763,14,MODELITO,Mora,81,190496,album,2022-11-03
6764,15,COSAS QUE NO TE DIJE,Saiko,78,224725,single,2021-09-17
6767,18,Arena y Sal,Omar Montes & Saiko & Tunvao,81,174415,single,2023-05-18
6768,19,El Merengue,Marshmello & Manuel Turizo,89,189668,single,2023-03-03
6769,20,Classy 101,Feid & Young Miko,93,195986,single,2023-03-31
6770,21,Eva Longoria,Ozuna,80,199850,album,2023-05-26
6771,22,Antidepresivos,Saiko,78,145384,single,2023-08-03
6772,23,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,87,215600,single,2023-05-12
6776,27,DONDE SE APRENDE A QUERER?,Mora,86,144427,album,2023-08-28
6777,28,El Cielo,Sky Rompiendo & Feid & Myke Towers,88,191320,single,2023-06-02
6778,29,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
6779,30,A 300,JC Reyes & Pedro Calderon,76,169208,single,2023-02-17
6780,31,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,85,203636,single,2023-05-03
6781,32,Supernova,Saiko,78,190909,single,2023-04-19
6782,33,BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,76,172852,single,2023-08-27
6783,34,La Bachata,Manuel Turizo,84,162637,album,2023-03-17
6784,35,PLAYA DEL INGLÉS,Quevedo,81,237525,album,2023-01-20
6785,36,COCO LOCO,Maluma,73,166734,album,2023-08-25
6787,38,Chulo pt.2,Bad Gyal & Tokischa & Young Miko,90,219333,single,2023-06-22
6788,39,EL TONTO,Lola Indigo,78,187986,album,2023-04-13
6789,40,GATITA GANGSTER,KAROL G,76,170920,album,2023-08-10
6790,41,PASAJERO,Mora,82,149538,album,2023-08-28
6791,42,El Jefe,Shakira & Fuerza Regida,83,170297,single,2023-09-20
6793,44,CORAZÓN VACÍO,Maria Becerra,87,160535,single,2023-06-22
6794,45,Nochentera,Vicco,78,202184,single,2022-12-19
6796,47,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,83,191254,single,2023-06-21
6797,48,WHERE SHE GOES,Bad Bunny,93,231704,single,2023-05-18
6798,49,BESO,ROSALÍA & Rauw Alejandro,90,194543,single,2023-03-24
6799,50,WANDA,Quevedo,82,160909,album,2023-01-20
6800,1,Si No Estás,iñigo quintero,79,184061,single,2022-09-23
6801,2,Buenas,Quevedo & Saiko,82,192954,single,2023-09-22
6802,3,REINA,Mora,88,211879,album,2023-08-28
6803,4,UN PREVIEW,Bad Bunny,85,165582,single,2023-09-25
6804,5,Columbia,Quevedo,95,186000,single,2023-07-07
6805,6,Holanda,Jhayco,92,231693,single,2023-07-28
6807,8,LALA,Myke Towers,97,197920,album,2023-03-23
6808,9,POLARIS - Remix,Saiko & Feid & Quevedo,86,288000,single,2023-06-08
6809,10,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
6811,12,QLONA,KAROL G,92,172797,album,2023-08-10
6812,13,Quien Es Dei V?,Dei V,73,162244,single,2023-03-17
6813,14,MODELITO,Mora,81,190496,album,2022-11-03
6814,15,COSAS QUE NO TE DIJE,Saiko,78,224725,single,2021-09-17
6817,18,Arena y Sal,Omar Montes & Saiko & Tunvao,81,174415,single,2023-05-18
6818,19,El Merengue,Marshmello & Manuel Turizo,89,189668,single,2023-03-03
6819,20,Classy 101,Feid & Young Miko,93,195986,single,2023-03-31
6820,21,Eva Longoria,Ozuna,80,199850,album,2023-05-26
6821,22,Antidepresivos,Saiko,78,145384,single,2023-08-03
6822,23,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,87,215600,single,2023-05-12
6826,27,DONDE SE APRENDE A QUERER?,Mora,87,144427,album,2023-08-28
6827,28,El Cielo,Sky Rompiendo & Feid & Myke Towers,88,191320,single,2023-06-02
6828,29,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
6829,30,A 300,JC Reyes & Pedro Calderon,76,169208,single,2023-02-17
6830,31,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,85,203636,single,2023-05-03
6831,32,Supernova,Saiko,78,190909,single,2023-04-19
6832,33,BESOS (with Kidd Keo & Neelo),SwaggGlock & Kidd Keo & Neelo,76,172852,single,2023-08-27
6833,34,La Bachata,Manuel Turizo,84,162637,album,2023-03-17
6834,35,PLAYA DEL INGLÉS,Quevedo,81,237525,album,2023-01-20
6835,36,COCO LOCO,Maluma,73,166734,album,2023-08-25
6837,38,Chulo pt.2,Bad Gyal & Tokischa & Young Miko,90,219333,single,2023-06-22
6838,39,EL TONTO,Lola Indigo,78,187986,album,2023-04-13
6839,40,GATITA GANGSTER,KAROL G,76,170920,album,2023-08-10
6840,41,PASAJERO,Mora,82,149538,album,2023-08-28
6841,42,El Jefe,Shakira & Fuerza Regida,84,170297,single,2023-09-20
6843,44,CORAZÓN VACÍO,Maria Becerra,87,160535,single,2023-06-22
6844,45,Nochentera,Vicco,78,202184,single,2022-12-19
6846,47,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,83,191254,single,2023-06-21
6847,48,WHERE SHE GOES,Bad Bunny,93,231704,single,2023-05-18
6848,49,BESO,ROSALÍA & Rauw Alejandro,90,194543,single,2023-03-24
6849,50,WANDA,Quevedo,82,160909,album,2023-01-20
6850,1,Si No Estás,iñigo quintero,82,184061,single,2022-09-23
6851,2,Buenas,Quevedo & Saiko,83,192954,single,2023-09-22
6852,3,REINA,Mora,88,211879,album,2023-08-28
6853,4,Columbia,Quevedo,95,186000,single,2023-07-07
6854,5,Holanda,Jhayco,92,231693,single,2023-07-28
6855,6,LALA,Myke Towers,97,197920,album,2023-03-23
6856,7,UN PREVIEW,Bad Bunny,87,165582,single,2023-09-25
6857,8,POLARIS - Remix,Saiko & Feid & Quevedo,86,288000,single,2023-06-08
6858,9,LUCES DE TECNO,Feid,74,163786,album,2023-09-29
6859,10,MODELITO,Mora,81,190496,album,2022-11-03
6860,11,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
6861,12,COSAS QUE NO TE DIJE,Saiko,79,224725,single,2021-09-17
6862,13,Quien Es Dei V?,Dei V,75,162244,single,2023-03-17
6863,14,QLONA,KAROL G,92,172797,album,2023-08-10
6865,16,Arena y Sal,Omar Montes & Saiko & Tunvao,81,174415,single,2023-05-18
6866,17,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,87,215600,single,2023-05-12
6867,18,El Merengue,Marshmello & Manuel Turizo,89,189668,single,2023-03-03
6868,19,Antidepresivos,Saiko,78,145384,single,2023-08-03
6869,20,DONDE SE APRENDE A QUERER?,Mora,87,144427,album,2023-08-28
6870,21,Classy 101,Feid & Young Miko,93,195986,single,2023-03-31
6871,22,Eva Longoria,Ozuna,80,199850,album,2023-05-26
6872,23,El Cielo,Sky Rompiendo & Feid & Myke Towers,88,191320,single,2023-06-02
6874,25,FERXXO 151,Feid,67,195320,album,2023-09-29
6875,26,Supernova,Saiko,78,190909,single,2023-04-19
6876,27,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
6877,28,A 300,JC Reyes & Pedro Calderon,76,169208,single,2023-02-17
6878,29,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,85,203636,single,2023-05-03
6879,30,Madrid City,Ana Mena,63,172727,single,2023-09-29
6880,31,PLAYA DEL INGLÉS,Quevedo,81,237525,album,2023-01-20
6881,32,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
