,position,song,artist,popularity,duration_ms,album_type,release_date
10653,4,LUNA,Feid,87,196800,album,2023-12-01
10654,5,Columbia,Quevedo,93,186000,single,2023-07-07
10655,6,Si No Estás,iñigo quintero,98,184061,single,2022-09-23
10656,7,PERRO NEGRO,Bad Bunny,97,162767,album,2023-10-13
10657,8,DILUVIO,Rauw Alejandro,91,197052,album,2023-07-07
10658,9,COSAS QUE NO TE DIJE,Saiko,83,224725,single,2021-09-17
10659,10,MODELITO,Mora,85,190496,album,2022-11-03
10660,11,NO PIENSO LLAMAR,Soge Culebra,72,198352,album,2023-10-13
10661,12,REINA,Mora,86,211879,album,2023-08-28
10662,13,OA,Anuel AA & Quevedo & Maluma,87,235200,single,2023-10-13
10663,14,QLONA,KAROL G,93,172797,album,2023-08-10
10664,15,LALA,Myke Towers,95,197920,album,2023-03-23
10665,16,Buenas,Quevedo & Saiko,83,192954,single,2023-09-22
10666,17,lady madrizZz,céro,79,131020,single,2023-09-01
10667,18,A 300,JC Reyes & Pedro Calderon,78,169208,single,2023-02-17
10668,19,POLARIS - Remix,Saiko & Feid & Quevedo,84,288000,single,2023-06-08
10669,20,Madrid City,Ana Mena,78,172727,single,2023-09-29
10670,21,Narcotics (with Bryant Myers),Dei V & Bryant Myers,84,173991,single,2023-09-14
10671,22,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
10672,23,SEYA,GIMS,73,188484,album,2023-10-05
10673,24,Holanda,Jhayco,89,231693,single,2023-07-28
10674,25,El Mambo,Kiko Rivera,79,129845,single,2023-07-13
10675,26,Quien Es Dei V?,Dei V,81,162244,single,2023-03-17
10677,28,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
10678,29,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,85,215600,single,2023-05-12
10679,30,Arena y Sal,Omar Montes & Saiko & Tunvao,78,174415,single,2023-05-18
10680,31,Lollipop,Darell,92,199946,album,2023-07-28
10681,32,CORLEONE,Saiko & Yandel,64,192000,single,2023-12-15
10682,33,LA CAPI,Myke Towers,73,202360,album,2023-11-23
10683,34,SEDA,Bad Bunny,86,190476,album,2023-10-13
10684,35,LUCES DE TECNO,Feid,82,164293,album,2023-09-29
10685,36,DONDE SE APRENDE A QUERER?,Mora,84,144427,album,2023-08-28
10686,37,La_Original.mp3,Emilia,83,140625,album,2023-11-03
10687,38,El Merengue,Marshmello,77,189668,album,2023-11-03
10688,39,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,77,268320,single,2023-10-04
10689,40,Antidepresivos,Saiko,76,145384,single,2023-08-03
10690,41,Como Camarón,Estopa,73,202026,album,1999-10-18
10691,42,YO TENGO UN NOVIO,Lola Indigo,55,144424,album,2023-12-14
10692,43,El Cielo,Sky Rompiendo & Feid & Myke Towers,86,191320,single,2023-06-02
10693,44,All I Want for Christmas Is You,Mariah Carey,99,241106,album,1994-10-28
10694,45,EL TONTO,Lola Indigo,75,187986,album,2023-04-13
10696,47,TQMQA,Eladio Carrion,67,169911,single,2023-12-14
10697,48,No_Se_Ve.mp3,Emilia,76,203636,album,2023-11-03
10698,49,EL CONDENAO,Lola Indigo,53,144829,album,2023-12-14
10699,50,QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,79,203213,single,2023-11-24
10700,1,Manos Rotas,DELLAFUENTE & Morad,83,168594,single,2023-11-16
10701,2,Casanova,Soolking & Lola Indigo & Rvfv,77,243806,single,2023-12-07
10702,3,LA FALDA,Myke Towers,85,174229,album,2023-11-23
10703,4,LUNA,Feid,88,196800,album,2023-12-01
10704,5,Columbia,Quevedo,93,186000,single,2023-07-07
10705,6,Si No Estás,iñigo quintero,98,184061,single,2022-09-23
10706,7,PERRO NEGRO,Bad Bunny,97,162767,album,2023-10-13
10707,8,DILUVIO,Rauw Alejandro,91,197052,album,2023-07-07
10708,9,COSAS QUE NO TE DIJE,Saiko,83,224725,single,2021-09-17
10709,10,MODELITO,Mora,85,190496,album,2022-11-03
10710,11,NO PIENSO LLAMAR,Soge Culebra,72,198352,album,2023-10-13
10711,12,REINA,Mora,86,211879,album,2023-08-28
10712,13,OA,Anuel AA & Quevedo & Maluma,87,235200,single,2023-10-13
10713,14,QLONA,KAROL G,93,172797,album,2023-08-10
10714,15,LALA,Myke Towers,95,197920,album,2023-03-23
10715,16,Buenas,Quevedo & Saiko,83,192954,single,2023-09-22
10716,17,lady madrizZz,céro,79,131020,single,2023-09-01
10717,18,A 300,JC Reyes & Pedro Calderon,78,169208,single,2023-02-17
10718,19,POLARIS - Remix,Saiko & Feid & Quevedo,84,288000,single,2023-06-08
10719,20,Madrid City,Ana Mena,78,172727,single,2023-09-29
10720,21,Narcotics (with Bryant Myers),Dei V & Bryant Myers,84,173991,single,2023-09-14
10721,22,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
10722,23,SEYA,GIMS,73,188484,album,2023-10-05
10723,24,Holanda,Jhayco,88,231693,single,2023-07-28
10724,25,El Mambo,Kiko Rivera,79,129845,single,2023-07-13
10725,26,Quien Es Dei V?,Dei V,81,162244,single,2023-03-17
10727,28,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
10728,29,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,85,215600,single,2023-05-12
10729,30,Arena y Sal,Omar Montes & Saiko & Tunvao,78,174415,single,2023-05-18
10730,31,Lollipop,Darell,91,199946,album,2023-07-28
10731,32,CORLEONE,Saiko & Yandel,64,192000,single,2023-12-15
10732,33,LA CAPI,Myke Towers,74,202360,album,2023-11-23
10733,34,SEDA,Bad Bunny,86,190476,album,2023-10-13
10734,35,LUCES DE TECNO,Feid,81,164293,album,2023-09-29
10735,36,DONDE SE APRENDE A QUERER?,Mora,84,144427,album,2023-08-28
10736,37,La_Original.mp3,Emilia,83,140625,album,2023-11-03
10737,38,El Merengue,Marshmello,77,189668,album,2023-11-03
10738,39,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,77,268320,single,2023-10-04
10739,40,Antidepresivos,Saiko,76,145384,single,2023-08-03
10740,41,Como Camarón,Estopa,73,202026,album,1999-10-18
10741,42,YO TENGO UN NOVIO,Lola Indigo,58,144424,album,2023-12-14
10742,43,El Cielo,Sky Rompiendo & Feid & Myke Towers,86,191320,single,2023-06-02
10743,44,All I Want for Christmas Is You,Mariah Carey,100,241106,album,1994-10-28
10744,45,EL TONTO,Lola Indigo,75,187986,album,2023-04-13
10746,47,TQMQA,Eladio Carrion,70,169911,single,2023-12-14
10747,48,No_Se_Ve.mp3,Emilia,76,203636,album,2023-11-03
10748,49,EL CONDENAO,Lola Indigo,56,144829,album,2023-12-14
10749,50,QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,79,203213,single,2023-11-24
10750,1,Manos Rotas,DELLAFUENTE & Morad,82,168594,single,2023-11-16
10751,2,Casanova,Soolking & Lola Indigo & Rvfv,77,243806,single,2023-12-07
10752,3,LA FALDA,Myke Towers,85,174229,album,2023-11-23
10753,4,LUNA,Feid,88,196800,album,2023-12-01
10754,5,Columbia,Quevedo,93,186000,single,2023-07-07
10755,6,Si No Estás,iñigo quintero,97,184061,single,2022-09-23
10756,7,COSAS QUE NO TE DIJE,Saiko,83,224725,single,2021-09-17
10757,8,PERRO NEGRO,Bad Bunny,96,162767,album,2023-10-13
10758,9,DILUVIO,Rauw Alejandro,90,197052,album,2023-07-07
10759,10,MODELITO,Mora,85,190496,album,2022-11-03
10760,11,REINA,Mora,86,211879,album,2023-08-28
10761,12,NO PIENSO LLAMAR,Soge Culebra,72,198352,album,2023-10-13
10762,13,OA,Anuel AA & Quevedo & Maluma,87,235200,single,2023-10-13
10763,14,LALA,Myke Towers,94,197920,album,2023-03-23
10764,15,QLONA,KAROL G,93,172797,album,2023-08-10
10765,16,Buenas,Quevedo & Saiko,83,192954,single,2023-09-22
10766,17,lady madrizZz,céro,79,131020,single,2023-09-01
10767,18,POLARIS - Remix,Saiko & Feid & Quevedo,84,288000,single,2023-06-08
10768,19,A 300,JC Reyes & Pedro Calderon,77,169208,single,2023-02-17
10769,20,Narcotics (with Bryant Myers),Dei V & Bryant Myers,84,173991,single,2023-09-14
10770,21,Madrid City,Ana Mena,78,172727,single,2023-09-29
10771,22,SEYA,GIMS,73,188484,album,2023-10-05
10772,23,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
10773,24,Quien Es Dei V?,Dei V,81,162244,single,2023-03-17
10774,25,Holanda,Jhayco,88,231693,single,2023-07-28
10775,26,El Mambo,Kiko Rivera,79,129845,single,2023-07-13
10776,27,Arena y Sal,Omar Montes & Saiko & Tunvao,77,174415,single,2023-05-18
10778,29,CORLEONE,Saiko & Yandel,66,192000,single,2023-12-15
10779,30,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
10780,31,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,85,215600,single,2023-05-12
10781,32,Lollipop,Darell,91,199946,album,2023-07-28
10782,33,SEDA,Bad Bunny,86,190476,album,2023-10-13
10783,34,DONDE SE APRENDE A QUERER?,Mora,84,144427,album,2023-08-28
10784,35,All I Want for Christmas Is You,Mariah Carey,100,241106,album,1994-10-28
10785,36,Feliz Navidad,Saiko,55,218282,single,2023-12-17
10786,37,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,76,268320,single,2023-10-04
10787,38,LA CAPI,Myke Towers,74,202360,album,2023-11-23
10788,39,LUCES DE TECNO,Feid,81,164293,album,2023-09-29
10789,40,La_Original.mp3,Emilia,82,140625,album,2023-11-03
10790,41,Antidepresivos,Saiko,76,145384,single,2023-08-03
10791,42,Como Camarón,Estopa,73,202026,album,1999-10-18
10792,43,El Merengue,Marshmello,76,189668,album,2023-11-03
10793,44,El Cielo,Sky Rompiendo & Feid & Myke Towers,86,191320,single,2023-06-02
10794,45,EL TONTO,Lola Indigo,75,187986,album,2023-04-13
10795,46,QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,79,203213,single,2023-11-24
10797,48,No_Se_Ve.mp3,Emilia,76,203636,album,2023-11-03
10798,49,YO TENGO UN NOVIO,Lola Indigo,59,144424,album,2023-12-14
10799,50,TQMQA,Eladio Carrion,71,169911,single,2023-12-14
10800,1,Manos Rotas,DELLAFUENTE & Morad,83,168594,single,2023-11-16
10801,2,Casanova,Soolking & Lola Indigo & Rvfv,78,243806,single,2023-12-07
10802,3,LUNA,Feid,88,196800,album,2023-12-01
10803,4,LA FALDA,Myke Towers,85,174229,album,2023-11-23
10804,5,Columbia,Quevedo,93,186000,single,2023-07-07
10805,6,Si No Estás,iñigo quintero,97,184061,single,2022-09-23
10806,7,DILUVIO,Rauw Alejandro,90,197052,album,2023-07-07
10807,8,PERRO NEGRO,Bad Bunny,96,162767,album,2023-10-13
10808,9,COSAS QUE NO TE DIJE,Saiko,83,224725,single,2021-09-17
10809,10,NO PIENSO LLAMAR,Soge Culebra,71,198352,album,2023-10-13
10810,11,REINA,Mora,85,211879,album,2023-08-28
10811,12,MODELITO,Mora,84,190496,album,2022-11-03
10812,13,QLONA,KAROL G,93,172797,album,2023-08-10
10813,14,OA,Anuel AA & Quevedo & Maluma,87,235200,single,2023-10-13
10814,15,LALA,Myke Towers,94,197920,album,2023-03-23
10815,16,Buenas,Quevedo & Saiko,82,192954,single,2023-09-22
10816,17,lady madrizZz,céro,79,131020,single,2023-09-01
10817,18,CORLEONE,Saiko & Yandel,67,192000,single,2023-12-15
10818,19,Narcotics (with Bryant Myers),Dei V & Bryant Myers,84,173991,single,2023-09-14
10819,20,POLARIS - Remix,Saiko & Feid & Quevedo,84,288000,single,2023-06-08
10820,21,SEYA,GIMS,73,188484,album,2023-10-05
10821,22,A 300,JC Reyes & Pedro Calderon,77,169208,single,2023-02-17
10822,23,Madrid City,Ana Mena,78,172727,single,2023-09-29
10823,24,YO TENGO UN NOVIO,Lola Indigo,60,144424,album,2023-12-14
10824,25,LA CAPI,Myke Towers,74,202360,album,2023-11-23
10825,26,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
10826,27,Quien Es Dei V?,Dei V,81,162244,single,2023-03-17
10827,28,Holanda,Jhayco,88,231693,single,2023-07-28
10829,30,SEDA,Bad Bunny,85,190476,album,2023-10-13
10830,31,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,76,268320,single,2023-10-04
10831,32,TQMQA,Eladio Carrion,72,169911,single,2023-12-14
10832,33,Arena y Sal,Omar Montes & Saiko & Tunvao,77,174415,single,2023-05-18
10833,34,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
10834,35,El Mambo,Kiko Rivera,79,129845,single,2023-07-13
10835,36,DONDE SE APRENDE A QUERER?,Mora,84,144427,album,2023-08-28
10836,37,Extasisssssss,Saiko,57,116666,single,2023-12-16
10837,38,Lollipop,Darell,91,199946,album,2023-07-28
10838,39,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,85,215600,single,2023-05-12
10839,40,La_Original.mp3,Emilia,82,140625,album,2023-11-03
10840,41,LUCES DE TECNO,Feid,81,164293,album,2023-09-29
10841,42,EL CONDENAO,Lola Indigo,59,144829,album,2023-12-14
10842,43,Como Camarón,Estopa,73,202026,album,1999-10-18
10843,44,El Cielo,Sky Rompiendo & Feid & Myke Towers,86,191320,single,2023-06-02
10844,45,El Merengue,Marshmello,76,189668,album,2023-11-03
10845,46,Feliz Navidad,Saiko,58,218282,single,2023-12-17
10846,47,QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,79,203213,single,2023-11-24
10847,48,EL TONTO,Lola Indigo,75,187986,album,2023-04-13
10848,49,All I Want for Christmas Is You,Mariah Carey,100,241106,album,1994-10-28
10849,50,No Te Quieren Conmigo,Gaby Music & Lunay & Luar La L,67,252040,single,2023-12-15
10850,1,Manos Rotas,DELLAFUENTE & Morad,83,168594,single,2023-11-16
10851,2,Casanova,Soolking & Lola Indigo & Rvfv,78,243806,single,2023-12-07
10852,3,LUNA,Feid,89,196800,album,2023-12-01
10853,4,LA FALDA,Myke Towers,85,174229,album,2023-11-23
10854,5,Columbia,Quevedo,93,186000,single,2023-07-07
10855,6,DILUVIO,Rauw Alejandro,90,197052,album,2023-07-07
10856,7,Si No Estás,iñigo quintero,97,184061,single,2022-09-23
10857,8,PERRO NEGRO,Bad Bunny,96,162767,album,2023-10-13
10858,9,COSAS QUE NO TE DIJE,Saiko,83,224725,single,2021-09-17
10859,10,NO PIENSO LLAMAR,Soge Culebra,71,198352,album,2023-10-13
10860,11,REINA,Mora,85,211879,album,2023-08-28
10861,12,MODELITO,Mora,84,190496,album,2022-11-03
10862,13,QLONA,KAROL G,93,172797,album,2023-08-10
10863,14,OA,Anuel AA & Quevedo & Maluma,87,235200,single,2023-10-13
10864,15,LALA,Myke Towers,94,197920,album,2023-03-23
10865,16,CORLEONE,Saiko & Yandel,68,192000,single,2023-12-15
10866,17,Buenas,Quevedo & Saiko,82,192954,single,2023-09-22
10867,18,YO TENGO UN NOVIO,Lola Indigo,61,144424,album,2023-12-14
10868,19,lady madrizZz,céro,79,131020,single,2023-09-01
10869,20,Narcotics (with Bryant Myers),Dei V & Bryant Myers,83,173991,single,2023-09-14
10870,21,Extasisssssss,Saiko,59,116666,single,2023-12-16
10871,22,SEYA,GIMS,73,188484,album,2023-10-05
10872,23,A 300,JC Reyes & Pedro Calderon,77,169208,single,2023-02-17
10873,24,POLARIS - Remix,Saiko & Feid & Quevedo,83,288000,single,2023-06-08
10874,25,LA CAPI,Myke Towers,74,202360,album,2023-11-23
10875,26,TQMQA,Eladio Carrion,73,169911,single,2023-12-14
10876,27,Quien Es Dei V?,Dei V,80,162244,single,2023-03-17
10877,28,Madrid City,Ana Mena,78,172727,single,2023-09-29
10878,29,BABY HELLO,Rauw Alejandro,78,222461,album,2023-07-07
10879,30,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,76,268320,single,2023-10-04
10880,31,Holanda,Jhayco,88,231693,single,2023-07-28
10881,32,SEDA,Bad Bunny,85,190476,album,2023-10-13
10883,34,No Te Quieren Conmigo,Gaby Music & Lunay & Luar La L,69,252040,single,2023-12-15
10884,35,Arena y Sal,Omar Montes & Saiko & Tunvao,77,174415,single,2023-05-18
10885,36,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
10886,37,El Mambo,Kiko Rivera,78,129845,single,2023-07-13
10887,38,DONDE SE APRENDE A QUERER?,Mora,84,144427,album,2023-08-28
10888,39,EL CONDENAO,Lola Indigo,60,144829,album,2023-12-14
10889,40,Lollipop,Darell,91,199946,album,2023-07-28
10890,41,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,85,215600,single,2023-05-12
10891,42,La_Original.mp3,Emilia,82,140625,album,2023-11-03
10892,43,LUCES DE TECNO,Feid,81,164293,album,2023-09-29
10893,44,Como Camarón,Estopa,73,202026,album,1999-10-18
10894,45,El Cielo,Sky Rompiendo & Feid & Myke Towers,85,191320,single,2023-06-02
10895,46,El Merengue,Marshmello,76,189668,album,2023-11-03
10896,47,QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,79,203213,single,2023-11-24
10897,48,All I Want for Christmas Is You,Mariah Carey,100,241106,album,1994-10-28
10898,49,EL TONTO,Lola Indigo,75,187986,album,2023-04-13
10899,50,Mi Luz (ft. Rels B),Rvfv,80,168000,album,2022-01-28
10900,1,Manos Rotas,DELLAFUENTE & Morad,83,168594,single,2023-11-16
10901,2,Casanova,Soolking & Lola Indigo & Rvfv,78,243806,single,2023-12-07
10902,3,LUNA,Feid,89,196800,album,2023-12-01
10903,4,LA FALDA,Myke Towers,85,174229,album,2023-11-23
10904,5,Columbia,Quevedo,92,186000,single,2023-07-07
10905,6,DILUVIO,Rauw Alejandro,90,197052,album,2023-07-07
10906,7,Si No Estás,iñigo quintero,97,184061,single,2022-09-23
10907,8,NO PIENSO LLAMAR,Soge Culebra,71,198352,album,2023-10-13
10908,9,PERRO NEGRO,Bad Bunny,96,162767,album,2023-10-13
10909,10,COSAS QUE NO TE DIJE,Saiko,82,224725,single,2021-09-17
10910,11,REINA,Mora,85,211879,album,2023-08-28
10911,12,MODELITO,Mora,84,190496,album,2022-11-03
10912,13,QLONA,KAROL G,93,172797,album,2023-08-10
10913,14,OA,Anuel AA & Quevedo & Maluma,87,235200,single,2023-10-13
10914,15,LALA,Myke Towers,94,197920,album,2023-03-23
10915,16,CORLEONE,Saiko & Yandel,69,192000,single,2023-12-15
10916,17,Narcotics (with Bryant Myers),Dei V & Bryant Myers,83,173991,single,2023-09-14
10917,18,Extasisssssss,Saiko,61,116666,single,2023-12-16
10918,19,YO TENGO UN NOVIO,Lola Indigo,62,144424,album,2023-12-14
10919,20,Buenas,Quevedo & Saiko,82,192954,single,2023-09-22
10920,21,lady madrizZz,céro,79,131020,single,2023-09-01
10921,22,POLARIS - Remix,Saiko & Feid & Quevedo,83,288000,single,2023-06-08
10922,23,A 300,JC Reyes & Pedro Calderon,77,169208,single,2023-02-17
10923,24,SEYA,GIMS,73,188484,album,2023-10-05
10924,25,Quien Es Dei V?,Dei V,80,162244,single,2023-03-17
10925,26,TQMQA,Eladio Carrion,74,169911,single,2023-12-14
10926,27,LA CAPI,Myke Towers,74,202360,album,2023-11-23
10927,28,Madrid City,Ana Mena,78,172727,single,2023-09-29
10928,29,No Te Quieren Conmigo,Gaby Music & Lunay & Luar La L,70,252040,single,2023-12-15
10929,30,BABY HELLO,Rauw Alejandro,77,222461,album,2023-07-07
10930,31,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,76,268320,single,2023-10-04
10931,32,Holanda,Jhayco,88,231693,single,2023-07-28
10932,33,SEDA,Bad Bunny,85,190476,album,2023-10-13
10934,35,EL CONDENAO,Lola Indigo,61,144829,album,2023-12-14
10935,36,El Mambo,Kiko Rivera,78,129845,single,2023-07-13
10936,37,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
10937,38,All I Want for Christmas Is You,Mariah Carey,100,241106,album,1994-10-28
10938,39,Arena y Sal,Omar Montes & Saiko & Tunvao,77,174415,single,2023-05-18
10939,40,DONDE SE APRENDE A QUERER?,Mora,84,144427,album,2023-08-28
10940,41,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,85,215600,single,2023-05-12
10941,42,LUCES DE TECNO,Feid,81,164293,album,2023-09-29
10942,43,Lollipop,Darell,91,199946,album,2023-07-28
10943,44,El Cielo,Sky Rompiendo & Feid & Myke Towers,85,191320,single,2023-06-02
10944,45,La_Original.mp3,Emilia,82,140625,album,2023-11-03
10945,46,Como Camarón,Estopa,73,202026,album,1999-10-18
10946,47,QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,79,203213,single,2023-11-24
10947,48,El Merengue,Marshmello,76,189668,album,2023-11-03
10948,49,EL TONTO,Lola Indigo,75,187986,album,2023-04-13
10949,50,Mi Luz (ft. Rels B),Rvfv,80,168000,album,2022-01-28
10950,1,Manos Rotas,DELLAFUENTE & Morad,83,168594,single,2023-11-16
10951,2,Casanova,Soolking & Lola Indigo & Rvfv,79,243806,single,2023-12-07
10952,3,LUNA,Feid,89,196800,album,2023-12-01
10953,4,LA FALDA,Myke Towers,85,174229,album,2023-11-23
10954,5,Columbia,Quevedo,92,186000,single,2023-07-07
10955,6,DILUVIO,Rauw Alejandro,90,197052,album,2023-07-07
10956,7,NO PIENSO LLAMAR,Soge Culebra,71,198352,album,2023-10-13
10957,8,Si No Estás,iñigo quintero,96,184061,single,2022-09-23
10958,9,PERRO NEGRO,Bad Bunny,96,162767,album,2023-10-13
10959,10,COSAS QUE NO TE DIJE,Saiko,82,224725,single,2021-09-17
10960,11,REINA,Mora,85,211879,album,2023-08-28
10961,12,MODELITO,Mora,84,190496,album,2022-11-03
10962,13,OA,Anuel AA & Quevedo & Maluma,86,235200,single,2023-10-13
10963,14,QLONA,KAROL G,93,172797,album,2023-08-10
10964,15,LALA,Myke Towers,94,197920,album,2023-03-23
10965,16,CORLEONE,Saiko & Yandel,70,192000,single,2023-12-15
10966,17,Narcotics (with Bryant Myers),Dei V & Bryant Myers,83,173991,single,2023-09-14
10967,18,Buenas,Quevedo & Saiko,82,192954,single,2023-09-22
10968,19,YO TENGO UN NOVIO,Lola Indigo,63,144424,album,2023-12-14
10969,20,Extasisssssss,Saiko,63,116666,single,2023-12-16
10970,21,A 300,JC Reyes & Pedro Calderon,77,169208,single,2023-02-17
10971,22,POLARIS - Remix,Saiko & Feid & Quevedo,83,288000,single,2023-06-08
10972,23,SEYA,GIMS,73,188484,album,2023-10-05
10973,24,lady madrizZz,céro,78,131020,single,2023-09-01
10974,25,Quien Es Dei V?,Dei V,80,162244,single,2023-03-17
10975,26,No Te Quieren Conmigo,Gaby Music & Lunay & Luar La L,71,252040,single,2023-12-15
10976,27,LA CAPI,Myke Towers,74,202360,album,2023-11-23
10977,28,TQMQA,Eladio Carrion,75,169911,single,2023-12-14
10978,29,Madrid City,Ana Mena,77,172727,single,2023-09-29
10979,30,BABY HELLO,Rauw Alejandro,77,222461,album,2023-07-07
10980,31,Holanda,Jhayco,87,231693,single,2023-07-28
10981,32,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,76,268320,single,2023-10-04
10982,33,All I Want for Christmas Is You,Mariah Carey,100,241106,album,1994-10-28
10984,35,SEDA,Bad Bunny,85,190476,album,2023-10-13
10985,36,El Mambo,Kiko Rivera,78,129845,single,2023-07-13
10986,37,EL CONDENAO,Lola Indigo,61,144829,album,2023-12-14
10987,38,La Bachata,Manuel Turizo,85,162637,album,2023-03-17
10988,39,Arena y Sal,Omar Montes & Saiko & Tunvao,77,174415,single,2023-05-18
10989,40,LUCES DE TECNO,Feid,80,164293,album,2023-09-29
10990,41,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,84,215600,single,2023-05-12
10991,42,DONDE SE APRENDE A QUERER?,Mora,83,144427,album,2023-08-28
10992,43,El Cielo,Sky Rompiendo & Feid & Myke Towers,85,191320,single,2023-06-02
10993,44,Lollipop,Darell,90,199946,album,2023-07-28
10994,45,Como Camarón,Estopa,73,202026,album,1999-10-18
10995,46,La_Original.mp3,Emilia,82,140625,album,2023-11-03
10996,47,QUIZÁS SI QUIZÁS NO,Alvaro Diaz & Quevedo,78,203213,single,2023-11-24
10997,48,El Merengue,Marshmello,76,189668,album,2023-11-03
10998,49,Last Christmas - Single Version,Wham!,89,265960,album,2023-07-07
10999,50,Mi Luz (ft. Rels B),Rvfv,79,168000,album,2022-01-28
11000,1,Manos Rotas,DELLAFUENTE & Morad,82,168594,single,2023-11-16
11001,2,Casanova,Soolking & Lola Indigo & Rvfv,79,243806,single,2023-12-07
11002,3,LA FALDA,Myke Towers,85,174229,album,2023-11-23
11003,4,LUNA,Feid,89,196800,album,2023-12-01
11004,5,Columbia,Quevedo,92,186000,single,2023-07-07
11005,6,DILUVIO,Rauw Alejandro,90,197052,album,2023-07-07
11006,7,Si No Estás,iñigo quintero,96,184061,single,2022-09-23
11007,8,No Te Quieren Conmigo,Gaby Music & Lunay & Luar La L,72,252040,single,2023-12-15
11008,9,NO PIENSO LLAMAR,Soge Culebra,71,198352,album,2023-10-13
11009,10,PERRO NEGRO,Bad Bunny,95,162767,album,2023-10-13
11010,11,COSAS QUE NO TE DIJE,Saiko,82,224725,single,2021-09-17
11011,12,MODELITO,Mora,83,190496,album,2022-11-03
11012,13,REINA,Mora,85,211879,album,2023-08-28
11013,14,All I Want for Christmas Is You,Mariah Carey,100,241106,album,1994-10-28
11014,15,OA,Anuel AA & Quevedo & Maluma,86,235200,single,2023-10-13
11015,16,QLONA,KAROL G,92,172797,album,2023-08-10
11016,17,A 300,JC Reyes & Pedro Calderon,76,169208,single,2023-02-17
11017,18,Narcotics (with Bryant Myers),Dei V & Bryant Myers,83,173991,single,2023-09-14
11018,19,LALA,Myke Towers,93,197920,album,2023-03-23
11019,20,POLARIS - Remix,Saiko & Feid & Quevedo,83,288000,single,2023-06-08
11021,22,Buenas,Quevedo & Saiko,81,192954,single,2023-09-22
11022,23,Xxx_Rosario_xxX,Saiko,58,188936,album,2023-12-22
11023,24,SEYA,GIMS,72,188484,album,2023-10-05
11024,25,LA CAPI,Myke Towers,74,202360,album,2023-11-23
11026,27,Quien Es Dei V?,Dei V,80,162244,single,2023-03-17
11027,28,lady madrizZz,céro,78,131020,single,2023-09-01
11028,29,Madrid City,Ana Mena,77,172727,single,2023-09-29
11029,30,Last Christmas - Single Version,Wham!,89,265960,album,2023-07-07
11030,31,Holanda,Jhayco,87,231693,single,2023-07-28
11031,32,BABY HELLO,Rauw Alejandro,77,222461,album,2023-07-07
11032,33,El Mambo,Kiko Rivera,78,129845,single,2023-07-13
11033,34,TQMQA,Eladio Carrion,75,169911,single,2023-12-14
11034,35,La Bachata,Manuel Turizo,84,162637,album,2023-03-17
11036,37,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,76,268320,single,2023-10-04
11037,38,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,84,215600,single,2023-05-12
11038,39,SEDA,Bad Bunny,84,190476,album,2023-10-13
11039,40,Arena y Sal,Omar Montes & Saiko & Tunvao,76,174415,single,2023-05-18
11040,41,LUCES DE TECNO,Feid,80,164293,album,2023-09-29
11041,42,Como Camarón,Estopa,73,202026,album,1999-10-18
11042,43,La_Original.mp3,Emilia,82,140625,album,2023-11-03
11043,44,Lollipop,Darell,90,199946,album,2023-07-28
11044,45,El Cielo,Sky Rompiendo & Feid & Myke Towers,85,191320,single,2023-06-02
11045,46,El Merengue,Marshmello,76,189668,album,2023-11-03
